,Property,Description,Type,Default,Version
0,bordered,Whether to show all table borders,boolean,false,
1,columns,Columns of table,ColumnsType[],-,
2,components,Override default table elements,TableComponents,-,
3,dataSource,Data record array to be displayed,object[],-,
4,expandable,Config expandable content,expandable,-,
5,footer,Table footer renderer,function(currentPageData),-,
6,getPopupContainer,The render container of dropdowns in table,(triggerNode) => HTMLElement,() => TableHtmlElement,
7,loading,Loading status of table,boolean | Spin Props,false,
8,locale,"The i18n text including filter, sort, empty text, etc",object,Default Value,
9,pagination,"Config of pagination. You can ref table pagination config or full pagination document, hide it by setting it to false",object | false,-,
10,rowClassName,Row's className,"function(record, index): string",-,
11,rowKey,"Row's unique key, could be a string or function that returns a string",string | function(record): string,key,
12,rowSelection,Row selection config,object,-,
13,scroll,"Whether the table can be scrollable, config",object,-,
14,showHeader,Whether to show table header,boolean,true,
15,showSorterTooltip,The header show next sorter direction tooltip. It will be set as the property of Tooltip if its type is object,boolean | Tooltip props,true,
16,size,Size of table,large | middle | small,large,
17,sortDirections,"Supported sort way, could be ascend, descend",Array,"[ascend, descend]",
18,sticky,Set sticky header and scroll bar,"boolean | {offsetHeader?: number, offsetScroll?: number, getContainer?: () => HTMLElement}",-,4.6.0 (getContainer: 4.7.0)
19,summary,Summary content,(currentData) => ReactNode,-,
20,tableLayout,The table-layout attribute of table element,- | auto | fixed,"-fixed when header/columns are fixed, or using column.ellipsis",
21,title,Table title renderer,function(currentPageData),-,
22,onChange,"Callback executed when pagination, filters or sorter is changed","function(pagination, filters, sorter, extra: { currentDataSource: [], action: paginate | sort | filter })",-,
23,onHeaderRow,Set props on per header row,"function(columns, index)",-,
24,onRow,Set props on per row,"function(record, index)",-,
25,virtual,Support virtual list,boolean,-,5.9.0
